;id;atlas_id;ontology_id;acronym;name;color_hex_triplet;graph_order;st_level;hemisphere_id;parent_structure_id
40;346;1033.0;1;SSp2/3;Primary somatosensory area, layer 2/3;188064;39;11;3;322.0
41;865;1098.0;1;SSp4;Primary somatosensory area, layer 4;188064;40;11;3;322.0
42;921;1105.0;1;SSp5;Primary somatosensory area, layer 5;188064;41;11;3;322.0
43;686;934.0;1;SSp6a;Primary somatosensory area, layer 6a;188064;42;11;3;322.0
44;719;938.0;1;SSp6b;Primary somatosensory area, layer 6b;188064;43;11;3;322.0
45;353;751.0;1;SSp-n;Primary somatosensory area, nose;188064;44;9;3;322.0
46;558;635.0;1;SSp-n1;Primary somatosensory area, nose, layer 1;188064;45;11;3;353.0
47;838;953.0;1;SSp-n2/3;Primary somatosensory area, nose, layer 2/3;188064;46;11;3;353.0
48;654;647.0;1;SSp-n4;Primary somatosensory area, nose, layer 4;188064;47;11;3;353.0
49;702;653.0;1;SSp-n5;Primary somatosensory area, nose, layer 5;188064;48;11;3;353.0
50;889;1101.0;1;SSp-n6a;Primary somatosensory area, nose, layer 6a;188064;49;11;3;353.0
51;929;1106.0;1;SSp-n6b;Primary somatosensory area, nose, layer 6b;188064;50;11;3;353.0
52;329;748.0;1;SSp-bfd;Primary somatosensory area, barrel field;188064;51;9;3;322.0
53;981;971.0;1;SSp-bfd1;Primary somatosensory area, barrel field, layer 1;188064;52;11;3;329.0
54;201;1015.0;1;SSp-bfd2/3;Primary somatosensory area, barrel field, layer 2/3;188064;53;11;3;329.0
55;1047;979.0;1;SSp-bfd4;Primary somatosensory area, barrel field, layer 4;188064;54;11;3;329.0
56;1070;982.0;1;SSp-bfd5;Primary somatosensory area, barrel field, layer 5;188064;55;11;3;329.0
57;1038;978.0;1;SSp-bfd6a;Primary somatosensory area, barrel field, layer 6a;188064;56;11;3;329.0
58;1062;981.0;1;SSp-bfd6b;Primary somatosensory area, barrel field, layer 6b;188064;57;11;3;329.0
59;480149202;;1;VISrll;Rostrolateral lateral visual area;188064;58;10;3;329.0
60;480149206;;1;VISrll1;Rostrolateral lateral visual area, layer 1;188064;59;11;3;480149202.0
61;480149210;;1;VISrll2/3;Rostrolateral lateral visual area, layer 2/3;188064;60;11;3;480149202.0
62;480149214;;1;VISrll4;Rostrolateral lateral visual area, layer 4;188064;61;11;3;480149202.0
63;480149218;;1;VISrll5;Rostrolateral lateral visual area,layer 5;188064;62;11;3;480149202.0
64;480149222;;1;VISrll6a;Rostrolateral lateral visual area, layer 6a;188064;63;11;3;480149202.0
65;480149226;;1;VISrll6b;Rostrolateral lateral visual area, layer 6b;188064;64;11;3;480149202.0
66;337;749.0;1;SSp-ll;Primary somatosensory area, lower limb;188064;65;9;3;322.0
67;1030;977.0;1;SSp-ll1;Primary somatosensory area, lower limb, layer 1;188064;66;11;3;337.0
68;113;1004.0;1;SSp-ll2/3;Primary somatosensory area, lower limb, layer 2/3;188064;67;11;3;337.0
69;1094;985.0;1;SSp-ll4;Primary somatosensory area, lower limb, layer 4;188064;68;11;3;337.0
70;1128;989.0;1;SSp-ll5;Primary somatosensory area, lower limb, layer 5;188064;69;11;3;337.0
71;478;625.0;1;SSp-ll6a;Primary somatosensory area, lower limb, layer 6a;188064;70;11;3;337.0
72;510;629.0;1;SSp-ll6b;Primary somatosensory area, lower limb, layer 6b;188064;71;11;3;337.0
73;345;750.0;1;SSp-m;Primary somatosensory area, mouth;188064;72;9;3;322.0
74;878;958.0;1;SSp-m1;Primary somatosensory area, mouth, layer 1;188064;73;11;3;345.0
75;657;1072.0;1;SSp-m2/3;Primary somatosensory area, mouth, layer 2/3;188064;74;11;3;345.0
76;950;967.0;1;SSp-m4;Primary somatosensory area, mouth, layer 4;188064;75;11;3;345.0
77;974;970.0;1;SSp-m5;Primary somatosensory area, mouth, layer 5;188064;76;11;3;345.0
78;1102;986.0;1;SSp-m6a;Primary somatosensory area, mouth, layer 6a;188064;77;11;3;345.0
79;2;990.0;1;SSp-m6b;Primary somatosensory area, mouth, layer 6b;188064;78;11;3;345.0
80;369;753.0;1;SSp-ul;Primary somatosensory area, upper limb;188064;79;9;3;322.0
81;450;1046.0;1;SSp-ul1;Primary somatosensory area, upper limb, layer 1;188064;80;11;3;369.0
82;854;955.0;1;SSp-ul2/3;Primary somatosensory area, upper limb, layer 2/3;188064;81;11;3;369.0
83;577;1062.0;1;SSp-ul4;Primary somatosensory area, upper limb, layer 4;188064;82;11;3;369.0
84;625;1068.0;1;SSp-ul5;Primary somatosensory area, upper limb, layer 5;188064;83;11;3;369.0
85;945;1108.0;1;SSp-ul6a;Primary somatosensory area, upper limb, layer 6a;188064;84;11;3;369.0
86;1026;1118.0;1;SSp-ul6b;Primary somatosensory area, upper limb, layer 6b;188064;85;11;3;369.0
87;361;752.0;1;SSp-tr;Primary somatosensory area, trunk;188064;86;9;3;322.0
88;1006;974.0;1;SSp-tr1;Primary somatosensory area, trunk, layer 1;188064;87;11;3;361.0
89;670;649.0;1;SSp-tr2/3;Primary somatosensory area, trunk, layer 2/3;188064;88;11;3;361.0
90;1086;984.0;1;SSp-tr4;Primary somatosensory area, trunk, layer 4;188064;89;11;3;361.0
91;1111;987.0;1;SSp-tr5;Primary somatosensory area, trunk, layer 5;188064;90;11;3;361.0
92;9;991.0;1;SSp-tr6a;Primary somatosensory area, trunk, layer 6a;188064;91;11;3;361.0
93;461;623.0;1;SSp-tr6b;Primary somatosensory area, trunk, layer 6b;188064;92;11;3;361.0
94;182305689;;1;SSp-un;Primary somatosensory area, unassigned;188064;93;9;3;322.0
95;182305693;;1;SSp-un1;Primary somatosensory area, unassigned, layer 1;188064;94;11;3;182305689.0
96;182305697;;1;SSp-un2/3;Primary somatosensory area, unassigned, layer 2/3;188064;95;11;3;182305689.0
97;182305701;;1;SSp-un4;Primary somatosensory area, unassigned, layer 4;188064;96;11;3;182305689.0
98;182305705;;1;SSp-un5;Primary somatosensory area, unassigned, layer 5;188064;97;11;3;182305689.0
99;182305709;;1;SSp-un6a;Primary somatosensory area, unassigned, layer 6a;188064;98;11;3;182305689.0
100;182305713;;1;SSp-un6b;Primary somatosensory area, unassigned, layer 6b;188064;99;11;3;182305689.0
101;378;754.0;1;SSs;Supplemental somatosensory area;188064;100;8;3;453.0
102;873;1099.0;1;SSs1;Supplemental somatosensory area, layer 1;188064;101;11;3;378.0
103;806;949.0;1;SSs2/3;Supplemental somatosensory area, layer 2/3;188064;102;11;3;378.0
104;1035;1119.0;1;SSs4;Supplemental somatosensory area, layer 4;188064;103;11;3;378.0
105;1090;1126.0;1;SSs5;Supplemental somatosensory area, layer 5;188064;104;11;3;378.0
106;862;956.0;1;SSs6a;Supplemental somatosensory area, layer 6a;188064;105;11;3;378.0
107;893;960.0;1;SSs6b;Supplemental somatosensory area, layer 6b;188064;106;11;3;378.0
108;1057;131.0;1;GU;Gustatory areas;009C75;107;6;3;315.0
109;36;994.0;1;GU1;Gustatory areas, layer 1;009C75;108;11;3;1057.0
110;180;729.0;1;GU2/3;Gustatory areas, layer 2/3;009C75;109;11;3;1057.0
111;148;1008.0;1;GU4;Gustatory areas, layer 4;009C75;110;11;3;1057.0
112;187;1013.0;1;GU5;Gustatory areas, layer 5;009C75;111;11;3;1057.0
113;638;645.0;1;GU6a;Gustatory areas, layer 6a;009C75;112;11;3;1057.0
114;662;648.0;1;GU6b;Gustatory areas, layer 6b;009C75;113;11;3;1057.0
115;677;367.0;1;VISC;Visceral area;11AD83;114;8;3;315.0
116;897;1102.0;1;VISC1;Visceral area, layer 1;11AD83;115;11;3;677.0
117;1106;1128.0;1;VISC2/3;Visceral area, layer 2/3;11AD83;116;11;3;677.0
118;1010;1116.0;1;VISC4;Visceral area, layer 4;11AD83;117;11;3;677.0
119;1058;1122.0;1;VISC5;Visceral area, layer 5;11AD83;118;11;3;677.0
120;857;1097.0;1;VISC6a;Visceral area, layer 6a;11AD83;119;11;3;677.0
121;849;1096.0;1;VISC6b;Visceral area, layer 6b;11AD83;120;11;3;677.0
122;247;30.0;1;AUD;Auditory areas;019399;121;6;3;315.0
123;1011;833.0;1;AUDd;Dorsal auditory area;019399;122;8;3;247.0
124;527;631.0;1;AUDd1;Dorsal auditory area, layer 1;019399;123;11;3;1011.0
125;600;923.0;1;AUDd2/3;Dorsal auditory area, layer 2/3;019399;124;11;3;1011.0
126;678;650.0;1;AUDd4;Dorsal auditory area, layer 4;019399;125;11;3;1011.0
127;252;738.0;1;AUDd5;Dorsal auditory area, layer 5;019399;126;11;3;1011.0
128;156;1009.0;1;AUDd6a;Dorsal auditory area, layer 6a;019399;127;11;3;1011.0
129;243;1020.0;1;AUDd6b;Dorsal auditory area, layer 6b;019399;128;11;3;1011.0
130;480149230;;1;VISlla;Laterolateral anterior visual area;019399;129;10;3;1011.0
131;480149234;;1;VISlla1;Laterolateral anterior visual area, layer 1;019399;130;11;3;480149230.0
132;480149238;;1;VISlla2/3;Laterolateral anterior visual area, layer 2/3;019399;131;11;3;480149230.0
133;480149242;;1;VISlla4;Laterolateral anterior visual area, layer 4;019399;132;11;3;480149230.0
134;480149246;;1;VISlla5;Laterolateral anterior visual area,layer 5;019399;133;11;3;480149230.0
135;480149250;;1;VISlla6a;Laterolateral anterior visual area, layer 6a;019399;134;11;3;480149230.0
136;480149254;;1;VISlla6b;Laterolateral anterior visual area, layer 6b;019399;135;11;3;480149230.0
137;1002;832.0;1;AUDp;Primary auditory area;019399;136;8;3;247.0
138;735;940.0;1;AUDp1;Primary auditory area, layer 1;019399;137;11;3;1002.0
139;251;1021.0;1;AUDp2/3;Primary auditory area, layer 2/3;019399;138;11;3;1002.0
140;816;950.0;1;AUDp4;Primary auditory area, layer 4;019399;139;11;3;1002.0
141;847;954.0;1;AUDp5;Primary auditory area, layer 5;019399;140;11;3;1002.0
142;954;1109.0;1;AUDp6a;Primary auditory area, layer 6a;019399;141;11;3;1002.0
143;1005;1115.0;1;AUDp6b;Primary auditory area, layer 6b;019399;142;11;3;1002.0
144;1027;835.0;1;AUDpo;Posterior auditory area;019399;143;8;3;247.0
145;696;935.0;1;AUDpo1;Posterior auditory area, layer 1;019399;144;11;3;1027.0
146;643;1070.0;1;AUDpo2/3;Posterior auditory area, layer 2/3;019399;145;11;3;1027.0
147;759;943.0;1;AUDpo4;Posterior auditory area, layer 4;019399;146;11;3;1027.0
148;791;947.0;1;AUDpo5;Posterior auditory area, layer 5;019399;147;11;3;1027.0
149;249;455.0;1;AUDpo6a;Posterior auditory area, layer 6a;019399;148;11;3;1027.0
150;456;622.0;1;AUDpo6b;Posterior auditory area, layer 6b;019399;149;11;3;1027.0
151;1018;834.0;1;AUDv;Ventral auditory area;019399;150;8;3;247.0
152;959;968.0;1;AUDv1;Ventral auditory area, layer 1;019399;151;11;3;1018.0
153;755;1084.0;1;AUDv2/3;Ventral auditory area, layer 2/3;019399;152;11;3;1018.0
154;990;972.0;1;AUDv4;Ventral auditory area, layer 4;019399;153;11;3;1018.0
155;1023;976.0;1;AUDv5;Ventral auditory area, layer 5;019399;154;11;3;1018.0
156;520;630.0;1;AUDv6a;Ventral auditory area, layer 6a;019399;155;11;3;1018.0
157;598;640.0;1;AUDv6b;Ventral auditory area, layer 6b;019399;156;11;3;1018.0
158;669;366.0;1;VIS;Visual areas;08858C;157;6;3;315.0
159;801;1090.0;1;VIS1;Visual areas, layer 1;08858C;158;11;3;669.0
160;561;1060.0;1;VIS2/3;Visual areas, layer 2/3;08858C;159;11;3;669.0
161;913;1104.0;1;VIS4;Visual areas, layer 4;08858C;160;11;3;669.0
162;937;1107.0;1;VIS5;Visual areas, layer 5;08858C;161;11;3;669.0
163;457;1047.0;1;VIS6a;Visual areas, layer 6a;08858C;162;11;3;669.0
164;497;1052.0;1;VIS6b;Visual areas, layer 6b;08858C;163;11;3;669.0
165;402;757.0;1;VISal;Anterolateral visual area;08858C;164;8;3;669.0
166;1074;1124.0;1;VISal1;Anterolateral visual area, layer 1;08858C;165;11;3;402.0
167;905;1103.0;1;VISal2/3;Anterolateral visual area, layer 2/3;08858C;166;11;3;402.0
168;1114;1129.0;1;VISal4;Anterolateral visual area, layer 4;08858C;167;11;3;402.0
169;233;453.0;1;VISal5;Anterolateral visual area, layer 5;08858C;168;11;3;402.0
170;601;1065.0;1;VISal6a;Anterolateral visual area, layer 6a;08858C;169;11;3;402.0
171;649;1071.0;1;VISal6b;Anterolateral visual area, layer 6b;08858C;170;11;3;402.0
172;394;756.0;1;VISam;Anteromedial visual area;08858C;171;8;3;669.0
173;281;1025.0;1;VISam1;Anteromedial visual area, layer 1;08858C;172;11;3;394.0
174;1066;1123.0;1;VISam2/3;Anteromedial visual area, layer 2/3;08858C;173;11;3;394.0
175;401;1040.0;1;VISam4;Anteromedial visual area, layer 4;08858C;174;11;3;394.0
176;433;1044.0;1;VISam5;Anteromedial visual area, layer 5;08858C;175;11;3;394.0
177;1046;696.0;1;VISam6a;Anteromedial visual area, layer 6a;08858C;176;11;3;394.0
178;441;762.0;1;VISam6b;Anteromedial visual area, layer 6b;08858C;177;11;3;394.0
179;409;758.0;1;VISl;Lateral visual area;08858C;178;8;3;669.0
180;421;618.0;1;VISl1;Lateral visual area, layer 1;08858C;179;11;3;409.0
181;973;687.0;1;VISl2/3;Lateral visual area, layer 2/3;08858C;180;11;3;409.0
182;573;637.0;1;VISl4;Lateral visual area, layer 4;08858C;181;11;3;409.0
183;613;642.0;1;VISl5;Lateral visual area, layer 5;08858C;182;11;3;409.0
184;74;999.0;1;VISl6a;Lateral visual area, layer 6a;08858C;183;11;3;409.0
185;121;1005.0;1;VISl6b;Lateral visual area, layer 6b;08858C;184;11;3;409.0
186;385;755.0;1;VISp;Primary visual area;08858C;185;8;3;669.0
187;593;1064.0;1;VISp1;Primary visual area, layer 1;08858C;186;11;3;385.0
188;821;951.0;1;VISp2/3;Primary visual area, layer 2/3;08858C;187;11;3;385.0
189;721;1080.0;1;VISp4;Primary visual area, layer 4;08858C;188;11;3;385.0
190;778;1087.0;1;VISp5;Primary visual area, layer 5;08858C;189;11;3;385.0
191;33;428.0;1;VISp6a;Primary visual area, layer 6a;08858C;190;11;3;385.0
192;305;462.0;1;VISp6b;Primary visual area, layer 6b;08858C;191;11;3;385.0
193;425;760.0;1;VISpl;Posterolateral visual area;08858C;192;8;3;669.0
194;750;942.0;1;VISpl1;Posterolateral visual area, layer 1;08858C;193;11;3;425.0
195;269;882.0;1;VISpl2/3;Posterolateral visual area, layer 2/3;08858C;194;11;3;425.0
196;869;957.0;1;VISpl4;Posterolateral visual area, layer 4;08858C;195;11;3;425.0
197;902;961.0;1;VISpl5;Posterolateral visual area, layer 5;08858C;196;11;3;425.0
198;377;1037.0;1;VISpl6a;Posterolateral visual area, layer 6a;08858C;197;11;3;425.0
199;393;1039.0;1;VISpl6b;Posterolateral visual area, layer 6b;08858C;198;11;3;425.0
200;533;915.0;1;VISpm;posteromedial visual area;08858C;199;8;3;669.0
201;805;383.0;1;VISpm1;posteromedial visual area, layer 1;08858C;200;11;3;533.0
202;41;995.0;1;VISpm2/3;posteromedial visual area, layer 2/3;08858C;201;11;3;533.0
203;501;628.0;1;VISpm4;posteromedial visual area, layer 4;08858C;202;11;3;533.0
204;565;636.0;1;VISpm5;posteromedial visual area, layer 5;08858C;203;11;3;533.0
205;257;456.0;1;VISpm6a;posteromedial visual area, layer 6a;08858C;204;11;3;533.0
206;469;624.0;1;VISpm6b;posteromedial visual area, layer 6b;08858C;205;11;3;533.0
207;312782574;;1;VISli;Laterointermediate area;08858C;206;8;3;669.0
208;312782578;;1;VISli1;Laterointermediate area, layer 1;08858C;207;11;3;312782574.0
209;312782582;;1;VISli2/3;Laterointermediate area, layer 2/3;08858C;208;11;3;312782574.0
210;312782586;;1;VISli4;Laterointermediate area, layer 4;08858C;209;11;3;312782574.0
211;312782590;;1;VISli5;Laterointermediate area, layer 5;08858C;210;11;3;312782574.0
212;312782594;;1;VISli6a;Laterointermediate area, layer 6a;08858C;211;11;3;312782574.0
213;312782598;;1;VISli6b;Laterointermediate area, layer 6b;08858C;212;11;3;312782574.0
214;312782628;;1;VISpor;Postrhinal area;08858C;213;8;3;669.0
215;312782632;;1;VISpor1;Postrhinal area, layer 1;08858C;214;11;3;312782628.0
216;312782636;;1;VISpor2/3;Postrhinal area, layer 2/3;08858C;215;11;3;312782628.0
217;312782640;;1;VISpor4;Postrhinal area, layer 4;08858C;216;11;3;312782628.0
218;312782644;;1;VISpor5;Postrhinal area, layer 5;08858C;217;11;3;312782628.0
219;312782648;;1;VISpor6a;Postrhinal area, layer 6a;08858C;218;11;3;312782628.0
220;312782652;;1;VISpor6b;Postrhinal area, layer 6b;08858C;219;11;3;312782628.0
221;31;3.0;1;ACA;Anterior cingulate area;40A666;220;8;3;315.0
222;572;1061.0;1;ACA1;Anterior cingulate area, layer 1;40A666;221;11;3;31.0
223;1053;1121.0;1;ACA2/3;Anterior cingulate area, layer 2/3;40A666;222;11;3;31.0
224;739;1082.0;1;ACA5;Anterior cingulate area, layer 5;40A666;223;11;3;31.0
225;179;1012.0;1;ACA6a;Anterior cingulate area, layer 6a;40A666;224;11;3;31.0
226;227;1018.0;1;ACA6b;Anterior cingulate area, layer 6b;40A666;225;11;3;31.0
227;39;4.0;1;ACAd;Anterior cingulate area, dorsal part;40A666;226;9;3;31.0
228;935;965.0;1;ACAd1;Anterior cingulate area, dorsal part, layer 1;40A666;227;11;3;39.0
229;211;1016.0;1;ACAd2/3;Anterior cingulate area, dorsal part, layer 2/3;40A666;228;11;3;39.0
230;1015;975.0;1;ACAd5;Anterior cingulate area, dorsal part, layer 5;40A666;229;11;3;39.0
231;919;963.0;1;ACAd6a;Anterior cingulate area, dorsal part, layer 6a;40A666;230;11;3;39.0
232;927;964.0;1;ACAd6b;Anterior cingulate area, dorsal part, layer 6b;40A666;231;11;3;39.0
233;48;5.0;1;ACAv;Anterior cingulate area, ventral part;40A666;232;9;3;31.0
234;588;1063.0;1;ACAv1;Anterior cingulate area, ventral part, layer 1;40A666;233;11;3;48.0
235;296;885.0;1;ACAv2/3;Anterior cingulate area, ventral part, layer 2/3;40A666;234;11;3;48.0
236;772;1086.0;1;ACAv5;Anterior cingulate area, ventral part, layer 5;40A666;235;11;3;48.0
237;810;1091.0;1;ACAv6a;Anterior cingulate area, ventral part, 6a;40A666;236;11;3;48.0
238;819;1092.0;1;ACAv6b;Anterior cingulate area, ventral part, 6b;40A666;237;11;3;48.0
239;972;262.0;1;PL;Prelimbic area;2FA850;238;8;3;315.0
240;171;1011.0;1;PL1;Prelimbic area, layer 1;2FA850;239;11;3;972.0
241;195;1014.0;1;PL2;Prelimbic area, layer 2;2FA850;240;11;3;972.0
242;304;886.0;1;PL2/3;Prelimbic area, layer 2/3;2FA850;241;11;3;972.0
243;363;1035.0;1;PL5;Prelimbic area, layer 5;2FA850;242;11;3;972.0
244;84;1000.0;1;PL6a;Prelimbic area, layer 6a;2FA850;243;11;3;972.0
245;132;1006.0;1;PL6b;Prelimbic area, layer 6b;2FA850;244;11;3;972.0
246;44;146.0;1;ILA;Infralimbic area;59B363;245;8;3;315.0
247;707;1078.0;1;ILA1;Infralimbic area, layer 1;59B363;246;11;3;44.0
248;747;1083.0;1;ILA2;Infralimbic area, layer 2;59B363;247;11;3;44.0
249;556;1059.0;1;ILA2/3;Infralimbic area, layer 2/3;59B363;248;11;3;44.0
250;827;1093.0;1;ILA5;Infralimbic area, layer 5;59B363;249;11;3;44.0
251;1054;980.0;1;ILA6a;Infralimbic area, layer 6a;59B363;250;11;3;44.0
252;1081;983.0;1;ILA6b;Infralimbic area, layer 6b;59B363;251;11;3;44.0
253;714;230.0;1;ORB;Orbital area;248A5E;252;8;3;315.0
254;264;881.0;1;ORB1;Orbital area, layer 1;248A5E;253;11;3;714.0
255;492;1051.0;1;ORB2/3;Orbital area, layer 2/3;248A5E;254;11;3;714.0
256;352;892.0;1;ORB5;Orbital area, layer 5;248A5E;255;11;3;714.0
257;476;1049.0;1;ORB6a;Orbital area, layer 6a;248A5E;256;11;3;714.0
258;516;1054.0;1;ORB6b;Orbital area, layer 6b;248A5E;257;11;3;714.0
259;723;231.0;1;ORBl;Orbital area, lateral part;248A5E;258;9;3;714.0
260;448;621.0;1;ORBl1;Orbital area, lateral part, layer 1;248A5E;259;11;3;723.0
261;412;1041.0;1;ORBl2/3;Orbital area, lateral part, layer 2/3;248A5E;260;11;3;723.0
262;630;644.0;1;ORBl5;Orbital area, lateral part, layer 5;248A5E;261;11;3;723.0
263;440;620.0;1;ORBl6a;Orbital area, lateral part, layer 6a;248A5E;262;11;3;723.0
264;488;626.0;1;ORBl6b;Orbital area, lateral part, layer 6b;248A5E;263;11;3;723.0
265;731;232.0;1;ORBm;Orbital area, medial part;248A5E;264;9;3;714.0
266;484;1050.0;1;ORBm1;Orbital area, medial part, layer 1;248A5E;265;11;3;731.0
267;524;1055.0;1;ORBm2;Orbital area, medial part, layer 2;248A5E;266;11;3;731.0
268;582;638.0;1;ORBm2/3;Orbital area, medial part, layer 2/3;248A5E;267;11;3;731.0
269;620;1067.0;1;ORBm5;Orbital area, medial part, layer 5;248A5E;268;11;3;731.0
270;910;962.0;1;ORBm6a;Orbital area, medial part, layer 6a;248A5E;269;11;3;731.0
271;527696977;;1;ORBm6b;Orbital area, medial part, layer 6b;248A5E;270;11;3;731.0
272;738;233.0;1;ORBv;Orbital area, ventral part;248A5E;271;9;3;714.0
273;746;234.0;1;ORBvl;Orbital area, ventrolateral part;248A5E;272;9;3;714.0
274;969;1111.0;1;ORBvl1;Orbital area, ventrolateral part, layer 1;248A5E;273;11;3;746.0
275;288;884.0;1;ORBvl2/3;Orbital area, ventrolateral part, layer 2/3;248A5E;274;11;3;746.0
276;1125;1130.0;1;ORBvl5;Orbital area, ventrolateral part, layer 5;248A5E;275;11;3;746.0
277;608;924.0;1;ORBvl6a;Orbital area, ventrolateral part, layer 6a;248A5E;276;11;3;746.0
278;680;933.0;1;ORBvl6b;Orbital area, ventrolateral part, layer 6b;248A5E;277;11;3;746.0
279;95;11.0;1;AI;Agranular insular area;219866;278;8;3;315.0
280;104;12.0;1;AId;Agranular insular area, dorsal part;219866;279;9;3;95.0
281;996;1114.0;1;AId1;Agranular insular area, dorsal part, layer 1;219866;280;11;3;104.0
282;328;889.0;1;AId2/3;Agranular insular area, dorsal part, layer 2/3;219866;281;11;3;104.0
283;1101;1127.0;1;AId5;Agranular insular area, dorsal part, layer 5;219866;282;11;3;104.0
284;783;946.0;1;AId6a;Agranular insular area, dorsal part, layer 6a;219866;283;11;3;104.0
285;831;952.0;1;AId6b;Agranular insular area, dorsal part, layer 6b;219866;284;11;3;104.0
286;111;13.0;1;AIp;Agranular insular area, posterior part;219866;285;9;3;95.0
287;120;863.0;1;AIp1;Agranular insular area, posterior part, layer 1;219866;286;11;3;111.0
288;163;1010.0;1;AIp2/3;Agranular insular area, posterior part, layer 2/3;219866;287;11;3;111.0
289;344;891.0;1;AIp5;Agranular insular area, posterior part, layer 5;219866;288;11;3;111.0
290;314;1029.0;1;AIp6a;Agranular insular area, posterior part, layer 6a;219866;289;11;3;111.0
291;355;1034.0;1;AIp6b;Agranular insular area, posterior part, layer 6b;219866;290;11;3;111.0
292;119;14.0;1;AIv;Agranular insular area, ventral part;219866;291;9;3;95.0
293;704;936.0;1;AIv1;Agranular insular area, ventral part, layer 1;219866;292;11;3;119.0
294;694;652.0;1;AIv2/3;Agranular insular area, ventral part, layer 2/3;219866;293;11;3;119.0
295;800;948.0;1;AIv5;Agranular insular area, ventral part, layer 5;219866;294;11;3;119.0
296;675;1074.0;1;AIv6a;Agranular insular area, ventral part, layer 6a;219866;295;11;3;119.0
297;699;1077.0;1;AIv6b;Agranular insular area, ventral part, layer 6b;219866;296;11;3;119.0
298;254;314.0;1;RSP;Retrosplenial area;1AA698;297;8;3;315.0
299;894;394.0;1;RSPagl;Retrosplenial area, lateral agranular part;1AA698;298;9;3;254.0
300;671;932.0;1;RSPagl1;Retrosplenial area, lateral agranular part, layer 1;1AA698;299;11;3;894.0
301;965;969.0;1;RSPagl2/3;Retrosplenial area, lateral agranular part, layer 2/3;1AA698;300;11;3;894.0
302;774;945.0;1;RSPagl5;Retrosplenial area, lateral agranular part, layer 5;1AA698;301;11;3;894.0
